         237,          25,        13.7578,        18.0773,        13.1294,        19.0220,         0.3660,         0.6176,         0.3447,         3.2338,         0.4211,        27.1808,      1351.6981,       121.3469,         2.4141,        38.8927,         9.4783,        12.2564,         0.1548,         1.4543,         4.9277,         1.5636,         0.3019,         0.0440,         0.1535,         2.8550,         1.3233,       660.8229,         0.5577,         0.2742,         0.2909,         0.1044,
         240,          26,        13.3967,        18.1639,        13.0072,        19.7198,         0.3309,         0.5986,         0.3463,         3.1305,         0.4237,        29.5850,      1285.7507,       122.4384,         2.4402,        38.8396,         9.4949,        12.2913,         0.1439,         1.3568,         5.7928,         1.2349,         0.2944,         0.0403,         0.1528,         2.8657,         1.3633,       660.2339,         0.5563,         0.2753,         0.2878,         0.1058,
         244,          27,        12.9652,        18.5614,        12.6953,        19.3238,         0.3837,         0.6024,         0.3507,         3.2039,         0.4178,        21.0468,      1326.2948,       121.5537,         2.4611,        38.0172,         9.5476,        11.7311,         0.1311,         1.3654,         4.7450,         0.8725,         0.3062,         0.0491,         0.1554,         2.9043,         1.3784,       659.4895,         0.5562,         0.2765,         0.2849,         0.1031,
         257,          28,        12.5227,        18.2772,        12.7920,        19.6750,         0.3326,         0.5796,         0.3438,         3.1572,         0.4070,        25.3263,      1345.7692,       122.3484,         2.5127,        38.1023,         9.5610,        11.6103,         0.1165,         1.4400,         4.3940,         0.7070,         0.3136,         0.0419,         0.1512,         2.8507,         1.3662,       659.8989,         0.5513,         0.2761,         0.2893,         0.1033,
         258,          29,        12.5466,        18.3735,        12.8476,        18.7549,         0.3820,         0.5698,         0.3419,         3.4582,         0.4014,        30.3550,      1334.6139,       121.3898,         2.5788,        38.1759,         9.5919,        12.2974,         0.0968,         1.5035,         4.9149,         0.9312,         0.3040,         0.0367,         0.1465,         2.9122,         1.3225,       660.4177,         0.5520,         0.2750,         0.2891,         0.1019,
         262,          30,        12.0036,        18.7872,        12.4942,        18.9717,         0.3952,         0.5340,         0.3510,         3.7165,         0.3977,        29.0403,      1259.5264,       121.1565,         2.5147,        37.9374,         9.6996,        12.5694,         0.0969,         1.4181,         4.2047,         0.7857,         0.2919,         0.0274,         0.1441,         2.8615,         1.3515,       659.9557,         0.5569,         0.2741,         0.2899,         0.1053,
         270,          31,        11.4240,        18.6759,        12.7311,        19.9894,         0.4005,         0.5340,         0.3567,         3.5583,         0.3895,        25.4603,      1262.7567,       120.1615,         2.5348,        37.1990,         9.6126,        11.8064,         0.0816,         1.4766,         4.1611,         0.8387,         0.2927,         0.0298,         0.1448,         2.8052,         1.3405,       660.0927,         0.5608,         0.2745,         0.2856,         0.1075,
         279,          32,        11.5812,        18.9352,        13.1447,        19.0326,         0.4068,         0.5240,         0.3549,         3.8813,         0.3993,        23.4197,      1249.0693,       120.2385,         2.4840,        38.0519,         9.5503,        11.1087,         0.0973,         1.3714,         3.3366,         0.9772,         0.2849,         0.0393,         0.1447,         2.8518,         1.3216,       660.6891,         0.5624,         0.2744,         0.2896,         0.1104,
         325,          33,        11.9122,        18.9028,        13.0862,        20.5540,         0.3670,         0.5468,         0.3565,         4.2768,         0.4089,        26.2079,      1260.5189,       120.5739,         2.4322,        37.6764,         9.4327,        10.5129,         0.0965,         1.4310,         3.4629,         0.9362,         0.2755,         0.0320,         0.1429,         2.8734,         1.3546,       660.5236,         0.5669,         0.2741,         0.2867,         0.1133,
         337,          34,        11.5453,        18.6267,        12.8602,        20.0650,         0.4085,         0.5353,         0.3620,         4.2902,         0.4042,        25.1902,      1300.4301,       119.3606,         2.5069,        37.8439,         9.4820,        10.5971,         0.1074,         1.3189,         2.9018,         0.6668,         0.2711,         0.0289,         0.1465,         2.9412,         1.3901,       660.1996,         0.5712,         0.2746,         0.2888,         0.1131,
