"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt9_sd1","QCt10_sd1","NPPL_sd1","NPPR_sd1","NPPS_sd1","add_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"31",0,0,0.00774701473948032,0.00773605725277302,0.00773100800985802,0,0,0,0,0.00218314387334354,0.000168448055716719,0.00342195451858617,0.0017982876254478,0.000173551727217557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344042970654198,0,0.00259554766412942,0.0101661499620311,0.0387306833052675,0.00660694545783666,0.00156381300388221,0.0171125943047331,0.0279092302895214,0.0169439688623439,0.00458149759380271,0.000699011567656221,0.000122015895636308,2.72659924343655e-05,4.98887651568696e-05,0
"32",0,0,0.0161367730805922,0.0161283242912723,0.0161386028208795,0,0,0,0,0.00422128373408335,0.000348149509274498,0.00735094276919363,0.00385969538757246,0.000361057649500184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402338153544975,0,0.012808264811236,0.00759114476135706,0.0437430825584706,0.00696584742174492,0.000580361259836657,0.0197044707022687,0.024033321481105,0.0135525607554552,0.00277217341711258,0.000405671908036169,6.95149137401515e-05,0,0,0
"33",0,0,0.0132591909803934,0.0132628766856893,0.0132596105416854,0,0,0,0,0.00327482885665864,0.000284899415176129,0.00616119298430913,0.00324680977844008,0.000304252686051704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520655609532226,0,0.00917523984768934,0.00737166291561233,0.0538271002677306,0.00805989798667177,0.000854991287096015,0.0209864338094971,0.0229323962766628,0.011886367499082,0.00217542843800683,0.000276368952633583,3.458264877007e-05,0,0,0
"34",0,0,0.00837772395020684,0.00838347002720046,0.00838305523967938,0,0,0,0,0.0020272215647845,0.000183225863817649,0.00391398670401313,0.00207033008640324,0.000194310487767834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246946266391797,0,0.00357299226662664,0.00991796548662776,0.0272515439095576,0.00731574164098048,0.00179679400234659,0.0229402137978465,0.0459431062744065,0.0222389883090509,0.00352200513940856,0.00027501147818106,3.75513116960571e-05,4.29234695989928e-05,0,0
"35",0,0,0.00493521421966018,0.004940344219799,0.00493912549000934,0,0,0,0,0.0012164345980418,0.000105270215074436,0.00229029573318699,0.00121039270695526,0.000115027445122071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159206292386179,0,0.00281726710473003,0.00406541597757315,0.0166903616715538,0.00402023116074916,0.0010981692754652,0.0370176425860192,0.110390199554017,0.0400729067268067,0.00720823911306439,0.0004954856815348,4.57816513021301e-05,0,0,3.94277244402744e-05
"36",0,0,0.00435125617529376,0.00434778232103585,0.0043488276604394,0,0,0,0,0.0011280464923437,9.2654457447265e-05,0.00198238174268661,0.00105423628348401,0.00010019677609281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884580703046376,0,0.00250945686103064,0.00259342194286571,0.010074343049489,0.00266527899500449,9.8984745279158e-05,0.0435099149387792,0.0986280127959639,0.059870716776006,0.0127497726658283,0.00100055085837852,7.94615719334399e-05,3.588702812818e-05,0,0
"37",0,0,0.00306609744387778,0.00306804629704444,0.0030665367232022,0,0,0,0,0.000829387019601108,6.69388383586621e-05,0.00137871664817672,0.000729933579377621,7.25857208318944e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00699354760338472,0,0.00179661972165576,0.00156979667987979,0.0066262749106809,0.0017677058121712,0.000716757569992403,0.026148769617809,0.057668128366481,0.0704075328557128,0.0152076539408233,0.00138759875433436,0.000130948366723125,5.01613558045423e-05,0,0
"38",0,0,0.00295062670966658,0.0029480149116298,0.00294812455365069,0,0,0,0,0.000821735045406062,6.61418738375812e-05,0.00130848204134609,0.000684589385151878,7.12018045396047e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072280913137843,0,0.00220826615106499,0.00165558101126115,0.00797658562179446,0.00137130587323901,0.000115224857026458,0.0206935854990884,0.0541187383668932,0.111786155062406,0.0217817298104479,0.0018336980353506,0.000164887473107864,0,0,0
"39",0,0,0.00331914845474657,0.00331572074222241,0.00331593702953456,0,0,0,0,0.000952389870088123,7.5818763169044e-05,0.00145552621606642,0.000767182961860919,7.79730593205133e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101150538377912,0,0.00284261421152353,0.00262406423917425,0.0109135526902669,0.00143320612543339,0.000531629855284956,0.0336935057136049,0.0579702821375841,0.0926859816092417,0.0242411016476337,0.00242058011245405,0.000218359355377365,5.00908265960866e-05,0,0
"40",0,0,0.00211426587779761,0.00210978959169203,0.00211525746456877,0,0,0,0,0.000620344479081761,5.51947882183089e-05,0.000926498785752032,0.00048602593770416,5.53774924194506e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00813248002230139,0,0.00127265371360299,0.00252086565218451,0.00828638020909595,0.00137441962039593,0.00257734868859964,0.0216789279059532,0.0480544655110798,0.0587950644788379,0.0173839903998542,0.00226398482166451,0.000244393704559334,0,0,0
