 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   1710,         2.6521,         1.4139,         4.0661,         1.1392,         2.3697,       200.1396,        76.3898,       208.1255,       227.3544,       275.9211,       458.2859,         1.6963,     85270.0859,     71481.5938
   1711,         2.2238,         1.5354,         3.7592,         0.6097,         2.0779,       199.9176,        76.3924,       208.1194,       227.2640,       275.8823,       458.2256,         1.6813,     85268.9453,     71482.1562
   1712,         2.0871,         1.6238,         3.7109,         0.8125,         2.1818,       199.7974,        76.4156,       208.1956,       227.2653,       275.8524,       458.1622,         1.5291,     85267.9375,     71482.6016
   1713,         3.2314,         0.5056,         3.7370,         0.9676,         2.2431,       199.7550,        76.4546,       208.3353,       227.2811,       275.8239,       458.1025,         1.4939,     85266.9453,     71483.0312
   1714,         4.1482,        -0.1419,         4.0062,         1.6136,         2.5533,       200.0356,        76.5586,       208.7352,       227.3144,       275.7970,       458.0465,         1.4529,     85266.0391,     71483.4531
   1715,         4.3202,        -0.1446,         4.1757,         1.7390,         2.5928,       200.3780,        76.6756,       209.1871,       227.2771,       275.7627,       457.9986,         1.5829,     85265.0000,     71483.9297
   1716,         2.9266,         1.0068,         3.9334,         1.2764,         2.3492,       200.4882,        76.7469,       209.4561,       227.2551,       275.7296,       457.9485,         1.5843,     85264.0078,     71484.3594
   1717,         2.7553,         0.9055,         3.6607,         1.1315,         2.2730,       200.5258,        76.8043,       209.6696,       227.3402,       275.7072,       457.8924,         1.3877,     85263.1562,     71484.7344
   1718,         2.8127,         0.4963,         3.3090,         0.8707,         2.0421,       200.4332,        76.8363,       209.7813,       227.4986,       275.6919,       457.8357,         1.2669,     85262.3750,     71485.0469
   1719,         3.5708,        -0.2585,         3.3123,         1.0026,         2.0937,       200.4066,        76.8819,       209.9478,       227.6788,       275.6787,       457.7836,         1.2186,     85261.6250,     71485.3359
   1720,         3.3835,         0.1342,         3.5177,         1.1063,         2.2667,       200.4319,        76.9384,       210.1578,       227.8236,       275.6619,       457.7382,         1.2510,     85260.8672,     71485.6328
   1721,         1.4968,         1.3693,         2.8661,         0.0664,         1.6845,       199.9377,        76.8911,       209.9532,       228.0067,       275.6487,       457.6902,         1.1816,     85260.1094,     71485.9062
