"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"33",100.4474,43.8685,127.2153474,26.7679748,57.6733882,69.542,55.9789,4.1337,9.4293,14.3860664,1.2145994,26.7185158,14.0520198,1.3021818,201.2024,78.9235,209.8012,249.7729,255.5283,463.5192,81494,72683.125,15.7493,2.0214,8.3979,33.5937,2.8361,46.7841,49.2098,2.4874,3.1476714,5.0709,0.9945106,0.3978492,1.594888,1.1549346,0.0081936,1.0147214,3.7239398,4.5942144,5.8830496,8.2705786,8.6843634,8.8891,9.065,9.2144
"34",41.004,11.2865,76.17978,35.1757802,33.9650164,42.2147,37.3694,1.73,3.1154,8.2475346,0.7005908,15.8676808,8.3729128,0.7763012,191.2279,77.9721,205.6436,254.9024,255.6427,462.0869,81472.6562,72691.7734,15.6179,2.0802,8.6719,19.4733,1.6541,28.0995,29.6548,1.4997,2.7012656,3.1985,0.2193088,0.8347518,1.01062,0.8558968,0.0272334,0.753973,3.2491498,4.2663474,5.6888248,7.740337,8.132959,8.3297618,8.4999,8.6444
"35",6.3822,0,37.0799024,30.6976716,17.9210228,19.1589,17.4222,0.4417,1.295,4.412296,0.361317,8.3325604,4.406205,0.4086398,176.6961,75.929,197.2396,267.9169,256.542,461.4659,81462.6875,72696.1172,14.5319,2.0431,8.4041,10.2291,0.8376,14.4877,15.322,0.7751,1.069935,1.29,0.199021,0.204784,0.5487392,0.3164088,0.0091938,1.2457952,3.6061216,5.0572606,6.3306418,7.4585096,7.7383226,7.8841074,8.0157,8.132
"36",0.5948,0,21.4611162,20.8663292,16.116617,5.3445,4.4252,0.1139,0.8054,4.1758606,0.3248212,7.3598178,3.8948564,0.3612612,161.132,73.6243,187.9137,283.5079,257.7523,461.2859,81456.125,72696.1172,15.5641,2.3047,9.326,9.6445,0.7502,12.7494,13.4941,0.6827,0.469806,0.9038,0.1293606,0.1087698,0.2210252,0.140009,0.003847,1.7769478,3.8836476,5.8295806,6.980123,7.5732316,7.7249828,7.8106902,7.8919,7.9675
"37",0.572,0,13.2537666,12.6817204,13.0734204,0.1803,0.1481,0.004,0.0282,3.5377844,0.2629826,5.8751526,3.1090972,0.288404,148.8872,71.7292,180.3689,295.4715,258.7596,461.4012,81449.9531,72696.1172,12.2448,1.8951,7.5448,8.1103,0.6029,10.1015,10.6914,0.541,0.2787542,0.6016,0.0595938,0.0458586,0.1042106,0.1286866,0.0040994,1.7893118,3.9730318,5.961429,7.1837212,7.7284276,7.836948,7.8975,7.9555,8.0103
"38",1.4833,0,13.181482,11.6981508,13.172163,0.0093,0.0076,2e-04,0.0015,3.6860264,0.2648632,5.8437812,3.0907686,0.2867218,137.5729,69.8872,173.1437,305.8743,259.7196,461.7239,81444.2891,72696.1172,11.3143,1.842,7.2252,8.4146,0.6046,10.0053,10.5835,0.5355,0.2624876,0.5413,0.0564626,0.039145,0.0977586,0.1255876,0.0033666,1.5880584,3.9659842,5.8911864,7.2717802,7.8557314,7.952636,8.0029002,8.0523,8.1007
"39",10.0658,0.0065,6.8279112,-3.2378814,6.539758,0.2882,0.2313,0.0074,0.0495,1.8722576,0.1308538,2.87571,1.5199292,0.141008,127.1229,68.943,169.4825,315.9455,260.2298,461.9508,81438.6484,72696.1172,10.4533,0.9448,3.664,4.1891,0.2928,4.8261,5.1016,0.2582,0.161213,0.1881,0.035006,0.033654,0.0197192,0.10784,0.003158,1.1175782,3.4634648,5.3812828,7.2323424,7.9018486,7.9861138,8.0314954,8.089,8.1431
"40",29.5762,0.2736,17.4636486,-12.1126082,11.6408806,5.8228,5.0304,0.1764,0.616,3.44425,0.2334314,5.0495174,2.6662966,0.2473918,117.5948,67.4103,163.6037,324.0314,261.0276,462.5471,81432.7969,72696.1172,9.6648,1.5601,5.9883,7.7969,0.5284,8.5727,9.0533,0.4582,0.1565356,0.3103,0.0018244,0.0652284,0,0.091309,0.0118364,0.9238392,3.044704,5.000258,7.1637044,8.0554224,8.1623116,8.2150446,8.2779,8.3342
"41",77.1378,49.368,54.1156896,-23.0221108,21.6115008,32.5042,26.1025,1.798,4.6037,6.6422386,0.4439834,9.2184526,4.856211,0.4506138,146.8677,67.6847,165.0479,325.3644,261.502,464.1108,81422.0469,72699.3516,9.8454,1.7757,6.755,15.5305,1.0381,16.1692,17.0358,0.8622,1.0301038,1.5171,0.1230668,0.5035594,0.2633838,0.2631604,0.0106966,1.1026288,3.2169728,4.874996,6.9259726,8.2118232,8.3869972,8.473169,8.5506,8.6211
"42",135.4141,71.0399,124.8965182,-10.5175294,56.328089,68.5684,52.0205,4.3948,12.1531,16.8794546,1.1629262,24.349971,12.7519888,1.183742,177.5468,71.2789,179.6202,305.1821,260.2522,467.3488,81389.1719,72712.4141,13.1975,1.8384,7.1581,40.8139,2.8124,44.1665,46.2587,2.3422,4.4589966,6.1495,0.055874,2.4344072,0.9004524,1.1241382,0.227528,1.6823186,3.6336094,4.6864784,6.331427,8.5087104,8.8504872,9.0177976,9.1446,9.2607
"43",159.6966,57.6954,153.7149544,-5.9816298,71.340883,82.3741,64.21,5.4353,12.7287,19.996644,1.4811196,31.7758372,16.5499986,1.5372904,191.8079,75.1099,194.9061,279.6338,258.3286,468.6898,81346.3281,72725.2031,14.5866,1.9385,7.7925,48.2172,3.5702,57.4433,59.8379,3.0317,5.6622536,8.0269,0.5315252,2.5251222,1.6900864,1.4470452,0.0507716,1.698759,4.2445148,5.092301,6.3631118,8.747855,9.1379878,9.3272012,9.482,9.6249
"44",147.5445,57.9634,158.5852428,11.040806,66.9325834,91.6527,72.8969,6.1891,12.5666,17.7049934,1.4051976,30.4858954,15.8620898,1.4744046,205.1267,78.9379,209.9637,262.1833,256.7042,467.981,81306.6094,72739.1797,15.6635,1.968,8.1263,41.5356,3.2971,53.6477,55.8269,2.8305,3.6424394,6.0556,1.0188176,0.6600334,1.6812052,1.3012022,0.0568808,1.470227,4.0834416,4.9047052,6.1605528,8.6414856,9.048783,9.2400004,9.4036,9.5547
"45",99.083,40.5276,117.9250946,18.8421424,50.2358172,67.6892,55.0729,3.8682,8.7481,12.7011446,1.049031,23.2397274,12.1187576,1.1271546,208.9638,80.8674,217.2461,257.5854,256.0069,466.4323,81276.3047,72752.4922,16.4268,2.1233,8.929,30.2703,2.5,41.5307,43.3132,2.1974,4.1849076,5.2627,0.4307022,1.4148182,1.5698324,1.200262,0.0302296,0.9668944,3.5212672,4.403333,5.7888702,8.2063524,8.6103324,8.7995,8.9684,9.1234
"46",48.3165,10.8439,77.1824444,28.8659892,31.4602402,45.7222,40.8735,1.9142,2.9346,7.8528678,0.644786,14.6120086,7.6396998,0.7108772,198.3271,79.8374,212.6993,264.6509,256.3083,465.3407,81256.625,72759.3594,16.0587,2.1143,8.8843,18.1969,1.4942,25.3953,26.5551,1.3478,2.0759772,2.5191,0.4179132,0.3003088,1.020221,0.7554484,0.007634,0.7054152,3.1693054,4.2127476,5.688956,7.7070676,8.0681656,8.2391,8.4019,8.5494
