"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","QCt11_mean1","QCt12_mean1","QCt13_mean1","QCt14_mean1","QCt15_mean1","QCt16_mean1","QCt17_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"70",54.590267,26.011611,85.025056,30.434793,53.484428,31.54062,23.673768,2.080223,5.786628,10.768007,0.596849,24.516306,16.836084,0.76719,207.282487,106.437664,205.494773,210.869147,268.465254,427.621754,80481.623833,73084.609143,20.157815,2.296612,12.905105,26.453977,1.40622,49.520155,59.82827,1.479272,0.386713,15.366141,30.579804,23.432765,8.483431,0.468321,19.024453,13.125639,0.598462,13.005804,10.40465,2.601157,0,5.191543,6.537842,1.303436,0.483699,2.945821,1.762026,0.006467,0.793064,2.676775,3.187813,4.508988,9.38615,9.891772,9.816799,9.687557,9.594239
"71",28.445037,11.27445,55.074345,26.629304,33.205042,21.869294,17.432113,1.289659,3.147521,6.987668,0.364043,14.981799,10.396396,0.475141,193.856881,105.671607,199.252291,224.885793,269.314195,426.237569,80456.719373,73095.238597,19.062829,1.945544,10.70022,16.038413,0.804812,28.335649,34.521918,0.859987,0.221325,9.303762,17.647952,13.42337,7.685981,0.3984,16.066333,11.156803,0.509118,5.63722,4.457741,1.179477,0,1.789457,2.31684,1.5526,0.07879,0.801373,0.909301,0.018841,0.014606,2.036035,2.725907,3.865255,7.788518,8.394448,8.458743,8.446202,8.44591
"72",3.395063,0.000564,31.057134,27.662078,20.679861,10.377279,8.128038,0.488247,1.760985,4.541251,0.219241,9.198316,6.423698,0.297352,173.613513,103.349727,186.91648,247.424409,270.804759,425.75958,80441.668988,73100.581721,20.243648,2.321941,12.336037,10.389243,0.483074,17.370868,21.269453,0.53687,0.132845,6.016315,10.87632,8.241661,10.239887,0.484529,19.427837,13.524593,0.617554,0.000283,0.000226,5.7e-05,0,1.113731,1.110568,0.784844,0.068924,0.567698,0.477098,0.016641,0.048777,3.09278,3.930494,4.753785,6.726067,7.197487,7.29958,7.349828,7.395647
"73",4.277825,7.2e-05,11.522183,7.244355,10.764335,0.757848,0.46964,0.039123,0.249078,2.602335,0.11354,4.643156,3.253833,0.151475,157.993971,101.702137,178.480851,265.899822,271.960434,425.933525,80433.694372,73102.023205,15.619564,1.647579,8.435655,5.826782,0.244822,8.57266,10.516583,0.267831,0.067317,3.36795,5.378814,4.071962,8.21009,0.352045,14.044795,9.780111,0.446599,3.6e-05,2.6e-05,1.1e-05,0,0.248955,0.397506,0.589119,0.049094,0.066448,0.133403,0.005748,0.970622,3.509275,4.539891,5.292538,6.451536,6.738327,6.815872,6.872063,6.919568
"74",11.461571,0.104076,14.526354,3.064775,13.736909,0.789441,0.487487,0.033363,0.26859,3.542509,0.144758,5.801224,4.05891,0.189524,143.864215,99.64164,168.264007,282.418233,273.400485,426.531786,80424.206876,73104.606404,14.181793,2.074591,10.254799,8.229359,0.323271,11.125315,13.631287,0.346986,0.0889,4.752196,6.971792,5.285572,11.308584,0.453383,18.025171,12.539175,0.572489,0.05204,0.037938,0.014098,0,0.433286,0.514935,0.196727,0.049942,0.159744,0.223605,0.004019,1.287575,3.715731,4.73023,5.472902,6.442043,6.63738,6.69919,6.753712,6.800561
"75",20.769938,16.766877,17.657302,-3.112632,14.541058,3.116246,1.34818,0.125768,1.642289,3.934414,0.152406,6.040997,4.216318,0.196924,147.030754,97.679257,158.799659,296.526202,274.811375,427.466848,80414.468518,73107.439296,13.172438,2.061584,9.792974,9.166611,0.341452,11.617181,14.202526,0.361544,0.093895,5.288886,7.263958,5.51765,12.161743,0.462227,18.323649,12.717976,0.580946,0.460402,0.353776,0.106624,16.994264,0.37432,0.518853,0.154988,0.01611,0.137713,0.220504,0.00237,1.232193,3.670741,4.755285,5.518768,6.459032,6.617753,6.672285,6.727424,6.775836
"76",52.829501,42.04782,47.399016,-5.430474,23.369556,24.029467,16.732151,1.463557,5.833761,6.6966,0.247062,9.522575,6.597835,0.305479,166.937939,97.152904,155.113595,305.691945,275.941857,429.526308,80398.65531,73113.99125,15.249136,1.976982,9.126925,15.506718,0.550048,18.176412,22.089984,0.557119,0.151263,8.940228,11.295693,8.619094,12.340223,0.450779,17.860095,12.343454,0.564275,7.620677,6.018223,1.602456,30.38023,0.632779,0.950133,0.38085,0.02648,0.123452,0.482846,0.001779,0.407657,2.43696,3.372175,4.539567,6.49949,6.719317,6.794973,6.862534,6.922948
"77",87.05636,38.105007,81.703069,-5.353284,39.258437,42.444629,30.686557,3.06997,8.68811,11.427517,0.415038,15.970541,10.943656,0.501704,170.156867,99.058084,161.350259,303.937707,276.657557,433.122808,80371.984766,73125.486248,15.833584,1.943898,8.96674,26.846212,0.936669,30.871445,37.145786,0.927198,0.257583,15.477865,18.990137,14.621266,12.194158,0.441634,17.598891,12.069109,0.551714,19.052502,15.203414,3.849086,0,0.897015,1.937124,0.5595,0.016472,0.195808,0.684747,0.007896,0.220208,1.912167,2.624448,3.82785,6.624443,6.972475,7.082407,7.17208,7.252206
"78",130.97644,62.838162,126.331485,-4.644949,67.435869,58.895634,40.575489,4.574877,13.745264,19.085729,0.718672,27.936005,18.83836,0.8571,184.832452,103.299723,176.66098,285.086059,276.74327,437.844937,80325.325627,73145.589451,16.743488,2.045795,9.820911,45.72279,1.653293,54.999813,65.245297,1.614995,0.454652,26.372596,33.349393,26.005207,11.874772,0.449076,18.123192,12.278177,0.561776,31.419081,25.131644,6.287434,0,1.4226,5.314215,1.726169,0.061166,0.3428,1.018639,0.009529,1.170102,2.575728,3.207249,4.37234,7.434354,7.770725,7.849181,7.92751,7.995393
"79",140.895744,67.973529,149.927871,9.032133,85.947088,63.98079,44.35331,4.974434,14.653042,22.629761,0.932737,36.7661,24.505773,1.112728,200.606172,107.952307,193.075409,259.086202,276.378199,440.274939,80263.665311,73171.750934,18.213037,2.144754,10.774966,55.309647,2.188086,73.768447,86.594373,2.136847,0.601727,31.939602,44.258766,34.847694,10.862577,0.449857,18.392091,12.34288,0.565514,33.986766,27.18941,6.797352,0,3.229088,8.924124,1.903675,0.088596,1.203723,1.936796,0.019357,1.806057,3.729652,4.066896,5.160255,8.685466,8.914371,8.878628,8.87625,8.877741
