"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt9_sd1","QCt10_sd1","QCt11_sd1","QCt12_sd1","QCt13_sd1","QCt14_sd1","QCt15_sd1","QCt16_sd1","QCt17_sd1","NPPL_sd1","NPPR_sd1","NPPS_sd1","add_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"11",0,0,0.00826680223495867,0.0082632981284468,0.00826193657441134,0,0,0,0,0.00195804478854275,0.000169741336191633,0.00389233006479831,0.00204899063596268,0.000195140457055418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179185445386571,0,0.00564047422606907,0.00378498081870698,0.0209613174030815,0.00507125231082027,0.000438633092571673,0.0260088043368069,0.060752003342285,0.0289953813633144,0.00548207952875509,0.000379285612378754,3.15268043725782e-05,1.71446607997366e-05,0,0
"12",0,0,0.00404057251668931,0.00404388801811199,0.00404352319122564,0,0,0,0,0.00101788848588487,8.94653027941063e-05,0.00186490040896383,0.000991468149215653,9.28287224794802e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114081779545388,0,0.00300115398680662,0.00298325478142734,0.0127133312675786,0.00208624644815138,0.000346845816180648,0.0444222604471263,0.165705096850466,0.0451951250611493,0.00876713905859416,0.000696168445888289,5.95945899515937e-05,0,0,0
"13",0,0,0.00386585924171688,0.00385759790752774,0.00386179630574559,0,0,0,0,0.00101697263155573,8.33333333333454e-05,0.00175278825494317,0.000922597891113375,9.11154224158605e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00782222132547057,0,0.00211546756777385,0.00180068982292449,0.0077872630401551,0.00237134918763496,0.000710740117871163,0.0372948164947053,0.0909752845724063,0.0510111771867676,0.0116775905135443,0.00102441853425899,9.02241876682211e-05,0,0,0
"14",0,0,0.00341419067712947,0.0034016126597349,0.00340674005139489,0,0,0,0,0.000929550776700555,7.28288432150287e-05,0.00152477817562042,0.000807712820252333,7.71722460186037e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833433327334053,0,0.00247026273497334,0.00226901193287192,0.00848261442450071,0.00168048694241769,7.33815268637039e-05,0.0329793674556953,0.052179856585979,0.0498528055601911,0.0117175794290787,0.00120882738071391,0.000106415423808081,2.56432399975645e-05,0,0
"15",0,0,0.00138123937904424,0.00138297731818932,0.0013822087433167,0,0,0,0,0.000393732463133589,4.19114024647876e-05,0.000614204749857413,0.000326777964960632,3.25824517434758e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00591381493375529,0,0.000513898744104244,0.00254454834157779,0.00632446779810704,0.00120601355169363,0.00155114945974418,0.0238871157528467,0.0405737985812659,0.0649162946346363,0.013561643772721,0.00131337178839254,0.000137642488154564,0,0,0
"16",0,0,0.00231701305454892,0.0023177337851854,0.00231677152585889,0,0,0,0,0.000664012899959942,5.66399223876596e-05,0.00101677843399557,0.000540500142498085,5.91095541679907e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115742704899159,0,0.00149222733664895,0.00390847550946412,0.0128880464545307,0.00155773566565076,0.00258550172924312,0.021289099477565,0.0495814919851626,0.0872985863330992,0.0182978940114026,0.00165520025337958,0.000157634021862338,0,4.92365963916183e-05,0
"17",0,0,0.00846829404546204,0.00847173887675721,0.00846745999623713,0,0,0,0,0.00251492434169384,0.000178305718620951,0.00366756407750786,0.00193302087339224,0.000178217889566741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171759597970389,0,0.00459520731883016,0.00505379255529144,0.0199728903134911,0.00690268605308649,0.00107744319496846,0.00741626515767127,0.0605159758521114,0.0579674660669433,0.0133990350926528,0.00170507827362615,0.000186406745445259,3.14466037734487e-05,0,0
"18",0,0,0.00694871545428617,0.00695996371754151,0.00695946786250838,0,0,0,0,0.00199615058843701,0.000150053862383408,0.00306551954830026,0.00160386024228042,0.000147244042598685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027466992569411,0,0.000917252705230423,0.0111110748282236,0.0307699809600661,0.00670655159850681,0.0015491473705744,0.0176269805535249,0.0407037189748534,0.0343471499707197,0.00860936036291813,0.00129363008154527,0.000173076733143345,0,0,0
"19",0,0,0.00669928716244059,0.00670405237015775,0.00670396196741954,0,0,0,0,0.00180151451436131,0.000142005832857937,0.00302789122204275,0.00158352757979115,0.000144316571215094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398468661049253,0,0.00284009442864781,0.012067702073441,0.0425778043733179,0.0055301308732025,0.00161080192087135,0.0129937015044936,0.0170997755021001,0.0101179236900651,0.00331872115445246,0.000754832913480135,0.0001365372632007,0,0,0
"20",0,0,0.00922907548693006,0.00922022869411156,0.00921684201707274,0,0,0,0,0.00225884032104075,0.000204702296770264,0.00429736776375584,0.00225112766354461,0.000212621919867418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334742629764746,0,0.00505388299561172,0.0106851568433822,0.0385033095783317,0.00587167649385462,0.000874470113724866,0.0145031753750548,0.0120741440083906,0.00543351691454127,0.00111080051214328,0.000340824905430282,7.67785744526769e-05,0,0,0
