"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt9_sd1","QCt10_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"89",8.15073712750949,4.17266445196725,7.41538688916737,8.53620675786743,6.57544331600532,3.52333377226496,3.28026662804745,3.05516155780044,2.95259569630903,2.49793033584331,0.3240926137914,3.92411225964214,3.98435525983626,0.714323032239532,13.1538688474964,32.8650997442659,16.4920884018765,101.443136494459,40.404120402355,238.257118814039,576.949238621592,208.469486550615,1.02329443547433,0.287891409471479,1.32080540637372,3.81343455037992,0.748436667827335,6.80949105366254,14.5205784565757,1.37525078181869,0.205816883845222,2.60842910492681,6.71577443308181,2.12050434078234,1.21993035012767,5.5071281994935,0,1.71768454153441,1.35685824348014,1.53739871826676,0.103785171840391,1.05986627691869,1.34538120541309,1.77952589983422,1.85977603396786,1.87309179845123,1.87589408341648,1.87832866115926
"90",10.6633313929197,5.92446746840089,7.94350760099636,10.1857252418653,7.67967228841666,4.72099418955821,3.83137260629315,1.06926566104731,1.54996714688252,4.02822676236158,0.50104916538936,4.70711220955582,4.72084973942812,1.08794798505343,14.2555274383386,33.573524601968,16.870219708072,104.988389548186,41.5993503044895,239.072735890108,590.487152342869,215.376107011684,1.16116254029565,0.35489415053056,1.58673882169777,7.49193661572436,1.22466557805168,9.05706824895525,18.8433292448648,2.24397789643118,0.336789311310694,4.87292152771919,2.77613037452032,3.7607403266389,1.40561293864594,1.86323614091915,1.38254377183122,1.14060090856407,0.232678483688796,2.0273877325863,2.09042262511457,1.60616921981176,1.52404710380658,1.73790914391083,1.88251299544819,1.93348999130818,1.955103551702,1.9730091064251
"91",13.3666063274299,7.28032417781071,13.7559440464684,15.4671269281098,13.395271159882,5.67744713664602,4.3099527557432,1.09003378640251,1.90105898970744,4.93846604108334,0.612578311105089,7.09901727171281,6.1490034853321,1.31849833572596,15.663331151317,34.4415627306672,17.4029011820205,107.618865340312,43.3078231750134,241.059481455778,604.558154586217,224.265008270423,1.36144661774923,0.39813494143432,2.04110259524161,10.7979751960151,1.78661715529855,15.5314438744862,26.0994015605115,3.21786592338664,0.491322195148412,6.80684899522191,6.93102146525265,8.93558789672764,0.679145017869505,4.06464127396741,3.83406459077061,3.14937579354716,0.0883825151762999,4.46037314146598,3.27536214561447,2.9989371121769,2.37308900750039,2.02054312286888,2.09277292429509,2.14754536936918,2.19923687467111,2.25193995598408
"92",10.8177488762261,6.66679777623888,10.388343675428,11.6684083982894,10.0905241853699,5.17155256753314,4.01462426526462,1.25664694877867,1.98972597172819,3.61397192649178,0.548639970059113,5.88828572572431,5.38833285490152,1.24274309013439,16.9436034220809,35.8246287290889,18.1886959307251,107.84164054526,44.645772854085,242.909054481899,616.969952433144,231.775939096164,1.58403678508296,0.34815707022329,1.88785523802044,6.58601169349283,1.3953760720188,12.004662653059,21.078530754031,2.62531516131421,0.383727748052252,4.22359817652239,4.08240477188063,4.08192544762625,1.76687609152625,3.47391883136729,1.59182566274379,1.93137418625949,0.806057478673359,0.266799596282992,1.71435400505923,2.71685773591906,2.39672107295666,2.13236508137743,2.12411347247255,2.09977508137121,2.11689703679416,2.15637102762109
"93",6.57320863148511,4.65460672527701,7.43021731382044,8.21328357732838,7.51275824295087,3.44832237134321,2.99054146953036,1.46724536713454,1.88395559518324,2.72110003200559,0.443813427193878,4.589534903955,4.63703456738574,1.07015545291799,17.5376346767099,37.5650488208197,19.0284645367231,107.067057426767,45.7314225025612,244.322587374276,630.102085072676,238.813891912031,1.72077276140193,0.370436622472302,2.056857808341,4.33686871826362,1.11787163391424,9.08800414235594,18.2261262149173,2.24427749014661,0.307416358789696,2.81517181834144,3.43159877492984,3.45771541076159,1.49925281885088,3.20871671986519,1.91202509257102,1.86213860755896,0.215168117543168,0.950108670200893,1.60260518545538,2.21442527296622,2.09205184121095,2.0582282099253,2.10421368463424,2.05313964565728,2.02848042396472,2.03510068501425
"94",2.3667999024116,2.57389161388044,9.27273028642546,8.94457815373869,9.04226389889074,1.62250419530484,1.94024197184191,1.3593385510069,1.34147900854342,1.97878547456833,0.255967867417973,4.53591657399009,4.28098546443067,0.701733872534757,16.8491801279184,38.3921715086179,18.9912605170633,105.828604812913,46.3792702032954,245.028129710821,644.32370562193,244.751806086699,1.68138376477937,0.44208901528808,2.29906803124811,3.82127087811837,0.658807036179944,9.46930733804898,17.9510967506797,1.49228160150215,0.181167364722248,2.15996626640769,3.51323611334337,3.98271883696796,0.294827593174332,0.881617735288803,2.79365346658775,0.933897762965908,0.0728000323010251,1.36644318545107,1.56491622386896,1.75751988723895,1.69967887469571,1.84807255201579,2.0075207493842,2.02725432391656,2.02117325269085,2.02314259218352
"95",0.821030096164002,0.921017430271896,10.380510814371,10.2121897109194,10.0928741409903,1.55149433787187,1.54692660432735,0.574636979141588,0.658751061065981,1.90917338862909,0.185029457602859,4.83414252567259,4.22910132627668,0.523880177297879,15.7367186019309,38.1270813604247,18.4826912551209,104.964641183109,46.8286117014735,245.419828893676,657.155204759311,249.495892860458,1.55067437441087,0.442600298917681,2.29174054944946,4.08584666589225,0.466933462968113,9.99882135170481,17.3351996848338,1.08469866709049,0.128399816588654,2.21060406672411,3.21936963479662,3.62712921225421,0.188141523628175,0.758693317454757,2.47466905590761,0.698290555625491,0.0249423007695114,1.25156523127335,1.41258311086535,1.51786653983095,1.50474321398011,1.82920695757821,1.97603266978345,2.02028363957098,2.03658648578369,2.05022209955878
"96",0.441442272213446,0.177777048387393,11.3865899641343,11.3156061399576,11.2036358801219,1.18657290403153,1.03611574210333,0.449693378697579,0.719315824267348,1.98792223750393,0.160363965586368,5.31131926297759,4.49640098768162,0.462938750081771,14.3817571346473,37.6702710689739,18.1659554413387,104.520191511009,47.19522935599,245.681086902388,669.563431438286,253.993666767821,1.6186369777677,0.466573528692711,2.1278890395947,4.26227352865045,0.390284242042731,10.4982119568106,17.4883432973141,0.92074685717683,0.10732845855672,2.29222083671132,2.55434745979964,2.76436985050843,0.221779648698359,0.500198821822408,2.38035318767547,0.522051386699188,0.022886285668871,0.731488712628589,1.30886222277136,1.46439696048537,1.50145869437865,1.81431043300119,1.91282743462275,1.951081141491,1.97592153884912,1.99705177741104
