"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","QCt9_mean1","QCt10_mean1","QCt11_mean1","QCt12_mean1","NPPL_mean1","NPPR_mean1","NPPS_mean1","add_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"11",11.7076,0.0185,40.5211112,28.8135278,17.9354716,22.5856,18.4725,1.5612,2.5519,4.2621032,0.3961718,8.4163098,4.451078,0.4098062,141.3093,215.9195,191.6984,256.5659,278.113,463.8427,81913.25,72566.0938,15.291,2.0136,7.5157,9.7831,0.9093,14.4886,15.325,0.7696,0.2501,5.6308,8.0088,5.7954,0.0093,0.0074,0.0019,0,0.9936358,1.1395,0.172306,0.065911,0.5506282,0.377098,0.0048272,1.0038836,3.6626468,4.9272934,6.1310376,7.3583336,7.6379386,7.7764,7.9083,8.0332
"12",2.622,0,26.8946234,24.2726282,16.398601,10.496,7.9729,0.7492,1.7739,4.1116624,0.3616286,7.5558408,4.0010552,0.3684114,125.3462,213.5295,183.0614,272.0275,279.3068,463.4547,81906.6875,72566.0938,15.9631,2.3894,8.6369,9.4983,0.8354,13.0915,13.8647,0.6964,0.2297,5.4538,7.2457,5.2366,0,0,0,0,0.4604862,0.975,0.1727454,0.0950986,0.2120838,0.153309,0.006264,1.8064534,4.178645,5.9553046,6.9221934,7.4834906,7.6260188,7.7046,7.7888,7.8759
"13",1.9325,0,13.829553,11.8970014,13.0132754,0.8163,0.6077,0.0618,0.1468,3.4139316,0.2866324,5.8997188,3.1252086,0.2877852,113.1068,211.5364,176.0858,283.711,280.3423,463.4077,81901.0625,72566.0938,12.2394,1.993,6.9756,7.8378,0.6581,10.1587,10.7626,0.5406,0.181,4.4918,5.6246,4.0635,0,0,0,0,0.296089,0.6835,0.1190048,0.061712,0.1011286,0.1332492,0.004707,1.8485602,4.1488442,6.175822,7.1760558,7.6535206,7.7450794,7.7973,7.8574,7.9225
"14",3.617,0,13.301933,9.6849048,13.2959714,0.006,0.0044,5e-04,0.0011,3.6039502,0.2922396,5.9552796,3.1540404,0.2904622,102.0625,209.4996,169.1684,293.7172,281.4015,463.5576,81895.4375,72566.0938,11.0443,2.0364,6.9173,8.2611,0.6699,10.2383,10.8448,0.5448,0.1842,4.7278,5.6676,4.0953,0,0,0,0,0.2745514,0.6443,0.091001,0.055138,0.0851132,0.1342992,0.0054856,1.8646618,4.1702824,6.2225088,7.2975314,7.7998536,7.8789138,7.9215244,7.9716,8.0268
"15",23.9637,0.9031,17.1073652,-6.8563724,13.8724692,3.2349,2.3291,0.4916,0.4141,3.8613594,0.304706,6.1508948,3.2556696,0.2998376,92.5304,207.8532,162.2684,301.895,282.4699,463.9052,81889.8125,72566.0938,9.9836,2.0971,6.9002,9.0132,0.7112,10.767,11.3979,0.5726,0.1956,5.1529,5.9566,4.3068,0.4515,0,0.4515,0,0.482659,0.879,0.0434028,0.2999208,0.045113,0.1376192,0.0311198,1.8935812,4.1710724,6.1971236,7.3790136,7.928077,8.0105114,8.0525974,8.1018,8.1565
"16",31.9335,46.3251,24.9308306,-7.0026662,15.3601296,9.5707,7.4683,0.8617,1.2406,4.3919536,0.3387234,6.7383862,3.5628978,0.3281608,127.09,205.9927,156.1223,309.5598,283.443,464.4893,81883.1406,72567.1016,11.0654,2.0812,6.627,10.3361,0.7971,11.893,12.5767,0.6318,0.2192,5.9041,6.5727,4.7572,0.7006,0.4806,0.2199,44.9239,0.820077,1.1138,0.0334126,0.4768112,0.1690038,0.1742532,0.0525078,1.8179362,4.2105938,6.072245,7.355936,8.0283002,8.12818,8.176912,8.2299,8.2877
"17",78.4014,31.5831,77.5623828,-0.8390478,37.2792994,40.2831,30.4392,3.5156,6.3282,10.953689,0.840549,16.1733234,8.5262404,0.7854984,131.9031,206.6006,160.2711,304.2301,283.2255,466.3781,81861.4609,72575.3125,13.4392,2.0585,6.5153,25.5897,1.9638,28.3422,29.8825,1.5016,0.54,14.6144,15.617,11.3369,13.3305,10.6644,2.6661,4.9222,2.0981056,3.039,0.2945458,0.7758096,0.4936242,0.828674,0.108109,0.8942506,3.1606152,4.4711938,6.2426904,8.1948298,8.4572472,8.5786006,8.6719,8.7468
"18",117.5444,51.5969,117.0110484,-0.5333792,59.1699698,57.8411,41.5752,5.1166,11.1493,16.815724,1.3424706,26.0703648,13.6804302,1.2609796,143.6178,209.6709,173.9763,285.2452,281.7817,468.2655,81827.0703,72590.2188,14.0836,2.0901,6.9335,40.3098,3.2186,46.8804,49.2006,2.4737,0.8851,23.0555,25.7134,18.7522,25.7985,20.6388,5.1597,0,4.3118252,6.2049,0.406458,1.9801434,1.200004,1.1316784,0.163313,1.5247168,3.6387344,4.6179258,6.1849052,8.4551536,8.8305134,9.0121446,9.157311,9.2739
"19",145.1526,67.0892,151.4476464,6.2949906,82.1204246,69.3272,49.3323,5.9929,14.0021,21.8795294,1.891269,37.1272754,19.4301194,1.7922232,161.4921,214.2561,193.1962,256.5194,279.0634,468.1273,81777.5547,72604.3438,15.6702,2.1233,7.6158,52.3292,4.523,66.5913,69.6995,3.5067,1.2438,30.0249,36.4278,26.6365,33.5446,26.8357,6.7089,0,5.2269784,8.8423,1.0737822,2.0425372,1.6722622,1.512181,0.1452928,2.030407,4.643935,5.4298328,6.5612388,8.9695424,9.3547138,9.5388968,9.6955,9.8283
"20",131.8278,54.8952,140.8864882,9.0586442,72.3587522,68.5277,51.2231,5.5663,11.7384,17.7968126,1.668821,33.620799,17.6436352,1.628683,171.7444,217.5822,206.8323,240.3168,276.9603,465.4464,81733.1484,72618.3438,17.1954,2.1638,8.322,42.0462,3.9423,59.5637,62.5154,3.1477,1.0841,24.2095,32.6741,23.8255,27.4476,21.9581,5.4895,0,4.7245304,7.2774,1.2561672,1.0631174,2.200259,1.4611524,0.0151976,1.5149916,4.3091716,5.1179284,6.2620266,8.7989498,9.1999332,9.3870016,9.5512,9.6958
