"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"26",2.3524,0,13.834335,11.48193175,13.829793,0.0045,0.0033,4e-04,9e-04,3.84852375,0.30141825,6.12925675,3.25012525,0.3004735,102.1728,208.9987,175.0851,303.2799,280.8428,461.7765,81661.7969,72640.4453,11.0562,2.0912,7.3728,8.8483,0.693,10.5691,11.2088,0.5652,0.3733,0.7152,0.1084415,0.08454275,0.16071025,0.12804975,0.00581125,1.8203185,3.89681275,5.71725875,7.1881915,7.81580275,7.9121475,7.9595,8.0105,8.0642
"27",6.8354,7e-04,13.80826175,6.9728525,13.711467,0.0968,0.0681,0.0089,0.0198,3.90674125,0.298058,6.02176675,3.189968,0.2949335,92.1965,206.9729,168.1599,311.5175,281.8791,462.2695,81656.1719,72640.4453,9.9766,2.026,6.9251,8.9711,0.6844,10.3708,10.9877,0.5541,0.36384625,0.7119,0.12420225,0.08229725,0.1509305,0.13062,0.010328,1.85614025,3.9670945,5.69923025,7.21960825,7.8953025,7.997885,8.0459845,8.0957,8.1471
"28",16.2835,0.2384,14.86612175,-1.41733825,14.013131,0.853,0.5929,0.1345,0.1256,4.0659995,0.30402825,6.11109225,3.23307125,0.2989355,83.3124,205.0196,161.2934,318.174,282.9273,462.9127,81650.5469,72640.4453,9.0033,2.0725,6.8668,9.5216,0.7119,10.7327,11.3562,0.5727,0.54371325,0.9258,0.0390245,0.34700975,0.063362,0.13334275,0.03133325,1.8666375,3.943774,5.6616375,7.2660935,7.9819455,8.094108,8.14627275,8.1984,8.2515
"29",47.5979,36.0656,37.4574635,-10.14040975,21.33516375,16.1223,11.5089,3.447,1.1663,6.432222,0.475481,9.15048125,4.83030825,0.44667225,105.3858,207.4642,155.2857,318.972,283.5762,464.2945,81639.7344,72643.7344,8.9109,2.0635,6.5816,15.0017,1.109,16.0081,16.9006,0.8525,1.2098565,1.5544,0.14635525,0.49263825,0.36762275,0.34959575,0.07301625,1.122832,3.755348,5.31280775,6.93804825,8.10692225,8.24975175,8.3130065,8.3795,8.4527
"30",96.6987,66.0162,93.2265525,-3.472112,48.08914675,45.1374,32.1724,4.1255,8.8395,14.3800355,1.0858685,20.72835175,10.88772375,1.007174,138.4033,209.3847,164.7532,304.663,282.7773,467.1372,81611.7734,72655.0391,12.9416,2.0904,6.5784,34.1364,2.5781,36.9066,38.7701,1.9562,2.99847325,4.5732,0.34163675,1.4043385,0.64584925,0.9482845,0.19306075,1.4124935,3.3317335,4.46429775,6.23338525,8.36261825,8.67093625,8.81320025,8.9286185,9.026
"31",128.18,58.6383,133.177613,4.99759975,74.503837,58.6738,41.1749,5.1587,12.3402,20.95983375,1.69605425,33.0151215,17.23730675,1.59552175,152.6201,213.1222,180.9646,276.6007,280.4796,468.9407,81567.2891,72668.5938,15.1021,2.1257,7.2439,50.7281,4.106,59.9456,62.5946,3.1603,5.9414925,8.5541,0.421338,2.94193625,1.52221,1.47734925,0.06592225,1.631422,4.26694375,5.12966375,6.428713,8.80164575,9.18450375,9.37076875,9.5246,9.6504
"32",127.4661,54.7764,128.662687,1.1965775,62.01728725,66.6454,49.2645,5.5764,11.8045,16.3629275,1.41548825,28.18122175,14.696366,1.36128325,163.9082,216.5192,195.3721,262.3622,278.9464,468.4211,81530.6406,72683.7812,16.1002,2.0803,7.5032,38.1575,3.3007,49.2847,51.4034,2.5971,3.1828295,5.2157,0.999967,0.36893875,1.65730925,1.156577,0.006523,1.61019475,4.022159,4.88184525,6.166309,8.5646625,8.972139,9.1697015,9.340184,9.4879
"33",91.6095,44.126,112.857989,21.24851275,58.41166975,54.4463,40.3133,4.4271,9.7059,14.65825025,1.32548875,27.009202,14.110858,1.30786875,168.7531,218.7747,204.7803,253.8689,277.6793,466.6345,81495.3984,72697.5469,17.2181,2.1563,8.2423,34.278,3.0994,47.3596,49.4853,2.5018,3.29787675,5.2417,1.00081725,0.48738725,1.6150755,1.19541475,0.009741,0.9779605,3.667947,4.5309955,5.85114975,8.298745,8.715827,8.92019675,9.0953,9.2441
"34",37.1435,10.7218,66.83471675,29.691235,34.3541725,32.4805,26.1802,2.3569,3.9434,8.41080525,0.762946,16.01056175,8.39168075,0.778181,157.2339,217.6537,200.591,259.6897,277.7415,465.2372,81473.9922,72706.2734,16.88,2.194,8.4778,19.8666,1.8021,28.3629,29.7321,1.5039,2.78891775,3.2669,0.2112725,0.8655235,1.02907175,0.89432075,0.028634,0.6912985,3.12418875,4.12836525,5.60856425,7.7540475,8.15384625,8.3508,8.5206,8.6647
"35",5.6337,0,32.342772,26.70910175,18.09873475,14.2441,11.4353,0.9613,1.8474,4.4983125,0.39261875,8.39165375,4.40732775,0.40881875,141.8808,215.4728,192.3931,273.1443,278.6849,464.6455,81464.0234,72710.6172,15.3531,2.1812,8.1979,10.4265,0.91,14.5876,15.3229,0.7753,1.1003335,1.308,0.19709475,0.21008025,0.55785675,0.332397,0.00942375,1.170151,3.4411855,4.9202265,6.2687395,7.4612585,7.74962675,7.8961,8.0276,8.1438
"36",0.5101,0,19.89042925,19.380311,16.2918885,3.5985,2.7274,0.2528,0.6183,4.26037125,0.35319525,7.41794575,3.89869825,0.3616855,125.8531,212.9646,183.2823,288.8204,280.0018,464.4958,81457.4609,72710.6172,16.0277,2.5084,9.1108,9.8454,0.8163,12.8576,13.5153,0.6839,0.472817,0.9161,0.12863425,0.11083775,0.225623,0.136359,0.00380625,1.744101,3.77717275,5.7408425,6.95628075,7.57496875,7.731828,7.81820075,7.8996,7.9752
