"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt9_sd1","QCt10_sd1","QCt11_sd1","QCt12_sd1","NPPL_sd1","NPPR_sd1","NPPS_sd1","add_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"61",0.174763482175666,0.000924734701704805,5.97203633754649,6.00126592691293,5.97341208898769,0.271710575250294,0.167336686635502,0.0311300241156811,0.120360386944754,0.809250541451607,0.104013203141214,2.85470608675863,3.08759209353424,0.282341396864375,7.7314028886619,6.98277500910531,24.1112894947856,74.0100781622168,8.86324820509198,164.013331660208,203.082856480381,63.6127188964253,0.604700600763027,0.121385603633128,2.30506832442327,1.79552836725122,0.234896970501839,5.09043157578712,10.8208506252647,0.518125499165609,0.0645968666965668,1.18668429559628,5.41934870950379,2.74042409646609,0.00046162056615167,0.000275250004777948,0.000356993625850372,0,0.806396672355716,0.799928385037522,0.388071788694309,0.172749459076497,0.801459929726042,0.229513235410285,0.0229476742513723,0.591791876125261,1.37206939875972,1.48846767997617,1.52062503702967,1.57316492763254,1.62902942541329,1.65029970546707,1.66986582380275,1.68671919637392
"62",0.492662224565053,0.0107576084293042,5.89379261485015,5.9786864108594,5.89528627911987,0.0485422668195043,0.0319859549989427,0.00452889841370762,0.0347417130436946,0.8316859967743,0.100339745410171,2.80403291221136,3.01378361283128,0.268932279911424,7.38094538792552,6.86715523875841,26.0816232506504,75.1301821871268,9.08259709400844,166.271357173709,210.686798383201,66.4536737517145,0.53694246844667,0.11642892163473,2.06103569403229,1.82371868922466,0.222709293352413,4.91797641303483,10.3534356623279,0.486272819162116,0.0612447420847378,1.20124529905054,5.18650410324573,2.6305923219725,0.00537985814937669,0.00559995396488379,0.00551693839175651,0,0.465000954483301,0.713688238210607,0.534456807978746,0.25194481602248,0.349674966703707,0.169594617222191,0.0142527004732985,0.528410682960606,1.34390210939759,1.54371623251802,1.60632379350139,1.66554882765437,1.68847827391685,1.69924111632493,1.71590823409407,1.73057787974806
"63",1.84516147050121,2.85818586728895,6.56580920154736,6.87787436590411,6.6371728046698,1.26289429516364,0.515349282807865,0.0947188494486803,1.3099394106928,1.0295311313432,0.127000693968565,3.21189735054405,3.4740022798318,0.330295913448595,7.75458301135632,6.80706033428043,27.9207039085989,76.5951889382709,9.36953530813581,169.022150706859,219.664295889021,70.0311676297723,0.559375888617388,0.124958139561717,2.0589069291844,2.22319976973459,0.287978384532513,5.673803287259,12.0802286647383,0.608445187931859,0.0791925708290179,1.4994190651616,6.04641019524257,3.13021016548531,0.202322899986031,0.200274870444255,0.157964372464731,2.68212349980149,0.52855090656024,1.03560643760245,0.434705369800128,0.183032745316997,0.392397242399441,0.25887330190508,0.014636497007457,0.831736456522484,1.42091021715846,1.59345099772264,1.63080932360343,1.72352080041343,1.73252942274479,1.73432719107075,1.74589910717191,1.7562152413623
"64",2.79707448088778,2.43757475969316,7.34192541166787,7.36338901878433,7.30065644909334,3.29746762417817,2.72914411825726,0.818621455499456,1.45030360093669,1.47330599615007,0.199130761829944,3.8510450871569,4.32971849591501,0.514604496267919,7.41842535980687,7.88098042921099,27.5005590974091,78.7516443448894,9.82986802133257,173.129333979404,231.938219764046,74.1613254042874,0.514852581263635,0.133348811403948,2.0020843481871,2.96517451693257,0.455023136552457,6.65541636896226,15.1280251360482,0.959257138530647,0.125131462237454,2.10865026803498,7.54564393172932,4.19888707255782,1.37736175235152,2.63633910136115,1.65107375805203,1.94992488956229,0.791957366696775,1.63093718008617,0.446319764457334,0.162619857340865,0.582505058654323,0.431594912530029,0.0104451543952534,0.648107147556071,1.39034858408839,1.57532466948462,1.58679025056869,1.66099132119913,1.70154610848963,1.70769633640363,1.71806152217851,1.72804569207612
"65",6.13955507877044,3.1457473891359,6.05791538070213,7.69116267721666,6.27818016992934,3.43510084421168,3.34370396313085,4.12468134094996,4.40729923743467,2.01251323436273,0.279059181891577,3.9455461605336,4.69517637223265,0.709190424445374,8.09027055950511,15.2273884021116,21.7363554683382,81.4548589022811,10.4687751321741,178.310488664578,246.014470318331,78.8606677047861,0.567664020585747,0.176408008734443,1.79529283764985,3.8339091399885,0.626555634365913,6.32068973751084,15.9731730474005,1.31186047314146,0.172301954638898,2.74437459333688,7.92935212992435,5.01725074284917,1.57287181961087,8.6729696926851,8.07158390190648,0,0.595196736292957,1.58556934112513,1.07409653951553,0.311507312043672,0.221433636004805,0.382779340771786,0.0336905475531173,0.0257611965851549,0.220446327963214,1.37219981065578,1.46676004689369,1.51574615837257,1.59844898366535,1.62134400293283,1.64003631400843,1.65763162219123
"66",8.60046514936785,4.10992110268552,7.57488071141687,10.8468818888435,8.22299607860604,3.90124205852306,3.46751059607836,4.26926294561457,4.55346769757421,3.13375888289323,0.428838748806817,5.4550677201326,6.26597797147702,1.10265504287793,8.93725163505205,22.779140928481,17.1073874627258,84.5824121089748,11.4857513424735,185.747782705241,264.634509323392,85.6938141108786,0.68654205983106,0.324054698481562,2.2327828589551,6.069750136685,0.995384514811846,8.7654578374326,22.1122942506728,2.10419018043568,0.273732702423207,4.24448001944161,10.9681141052558,7.81146973011481,2.05496384968529,9.0290688535203,8.23182099438855,0,1.05429768881566,2.7397225597818,0.950662920793687,0.279759827140931,0.648822609520422,0.631242981025173,0.0137879814223623,1.07648099516906,1.27956441489233,1.54649539435897,1.49692884465598,1.39956459626328,1.50792794996991,1.54887524288759,1.57937197656076,1.60755159899364
"67",12.7848439706199,6.14276871385795,14.3445151195395,18.6667528952169,15.2666660775703,5.56423340307093,4.48506161916583,2.36284070919308,3.00078517088218,4.24002171060897,0.623343864689733,8.9945804143027,9.2543734067253,1.62546816846163,10.1488415217185,25.7684305076033,16.4565048344818,86.4591498617382,13.006239248696,195.432464790767,288.84373077285,95.4386891695776,0.859056505612798,0.457503257941421,2.79510490069841,8.42493578629543,1.49655214015444,15.0347676418209,33.2815725281239,3.2163255544484,0.411552111080516,5.83693230647182,16.5789455930968,12.4308676355783,3.07138510512699,5.96189904448995,4.27297494276097,0,3.41751169167663,6.58040247343823,2.54893435480486,1.4972064062364,1.87353562753764,1.56167183964187,0.283909329599905,2.42532923240418,2.25035833601784,2.23168059560086,1.94166838099597,1.75149350539645,1.76365360925115,1.75206494244772,1.75807759770436,1.77404758527693
"68",13.2369696670234,7.24761637010231,17.4006301560414,21.2770878100228,18.4205227918218,6.47129667709788,5.03603594608214,1.34823330056726,2.4691322206424,3.8505160380993,0.652622999518283,10.5201903000427,10.4361400444654,1.76011499665634,11.8655510332419,27.3274834696668,16.8617602052597,85.5181759332384,14.6892492804521,204.615734912286,315.784633828382,106.691767156139,1.11884923004585,0.51112317222271,3.21847967288095,7.91985196474462,1.6506263484614,17.9334596815908,38.3212837481766,3.70578480273309,0.4539220755738,5.58472052156328,19.1244839139692,14.5701355364958,3.6238086547818,4.89344094458318,2.18197941896357,0,7.35218308756284,10.9802604153664,2.06860048371105,2.95130033576577,3.63701187413753,2.89832353201341,0.0393614204469198,2.20888031197806,2.65882448433641,2.71126431845876,2.45824036862332,2.53509837512929,2.3857601276422,2.21598944011682,2.11718340679438,2.06565547256523
"69",7.95936608616172,5.09499061030753,12.3066472329167,14.6476277762372,13.2899114460071,4.57609263455695,3.84010993646333,1.87756490325472,2.47083257268473,2.70906830801385,0.526300058172051,7.87559973534096,8.44667979780606,1.49081240459803,13.0505204133418,30.0304133044909,16.9549924392048,83.6758035287564,16.0646225609484,211.013008292897,340.129752291331,117.039401903137,1.34737445013745,0.552841940522281,3.47359065426588,5.47431162654031,1.31312037785171,13.1661619832358,31.0748320309273,3.09101850666094,0.361106976661969,4.00211545094674,15.456263717415,11.8784168788037,2.54749188745111,4.93821049490607,3.31866585985654,0,6.02421374233085,8.02912921934008,1.69813577285125,1.76838541271212,3.54490167061743,2.04277752642393,0.123223016875647,1.48283088938931,2.13133997213415,2.33736990930508,2.25928268180566,2.64903219329471,2.60840196138693,2.40620460246307,2.23907923417198,2.13322103621076
"70",3.90729414995502,2.79438638726577,7.71716613304823,8.92334034420131,8.365684060631,2.5082406895023,2.62153853712422,2.3254513423707,2.42928634752142,1.63238107534118,0.337751589960553,4.82152797798101,5.84563143041327,1.00551869549708,13.1101149700528,33.2565448529684,16.4799213127754,82.6790057688785,16.9629238787092,214.649620674388,358.053207368157,124.235473862071,1.3950042881001,0.600455433974862,3.43786412224203,3.23085925807067,0.809701452629635,8.35649336959514,21.3466840369782,1.98758067004172,0.222667665932132,2.45852754622764,10.5856863884377,7.72435533901154,1.39719460860957,4.94909563996883,4.27321293850287,0,3.56665086302495,3.78579676452955,0.821162062610116,0.515774182382353,2.85455580820136,0.904473150785596,0.00875676519688788,0.809902786501668,1.54187335128207,1.77755352805838,1.79787847711863,2.07566162084089,2.23483860723651,2.14415095056373,2.02553852504544,1.94629284882991
