 sdoy, GPP_d,NEE_d,Reco_d,QC(1),QC(6),QC(2),QC(7), QC(3),QC(4),QC678,pheno,QC(5),NPP_d,Rh_d,Ra_d
   8146,         1.8154,        -0.7006,         1.1148,       116.7905,       447.4732,        90.2434,     81121.7891,       158.9510,       286.9375,    154348.9062,       116.0000,       256.0381,         1.8010,         0.5392,         0.5756
   8147,         2.6970,        -1.3124,         1.3846,       118.3111,       447.4964,        90.2573,     81121.5078,       159.0191,       287.0972,    154348.7500,       116.0000,       256.0581,         2.1783,         0.5711,         0.8136
   8148,         2.1564,        -0.7742,         1.3822,       119.6976,       447.5227,        90.2457,     81121.2031,       158.9852,       287.2355,    154348.5938,       116.0000,       256.0758,         1.9178,         0.6044,         0.7778
   8149,         1.7847,        -0.4672,         1.3176,       121.0688,       447.5458,        90.2324,     81120.9062,       158.9442,       287.3940,    154348.4219,       116.0000,       256.0945,         1.8943,         0.5802,         0.7374
   8150,         2.6176,        -1.0005,         1.6171,       122.5930,       447.5761,        90.2509,     81120.5625,       159.0304,       287.5067,    154348.2656,       116.0000,       256.1093,         2.2079,         0.6470,         0.9701
   8151,         2.9209,        -1.1866,         1.7342,       124.1598,       447.6098,        90.2790,     81120.1875,       159.1550,       287.5946,    154348.1094,       116.0000,       256.1215,         2.3011,         0.6887,         1.0456
   8152,         3.6942,        -1.6108,         2.0833,       126.0073,       447.6471,        90.3646,     81119.7656,       159.5091,       287.6571,    154347.9062,       116.0000,       256.1316,         2.8711,         0.7291,         1.3542
   8153,         3.0877,        -1.1096,         1.9781,       127.7053,       447.6845,        90.4219,     81119.3594,       159.7497,       287.7139,    154347.7188,       116.0000,       256.1402,         2.5822,         0.7453,         1.2327
   8154,         2.5906,        -0.8334,         1.7573,       129.2549,       447.7134,        90.4511,     81118.9844,       159.8773,       287.8252,    154347.5625,       116.0000,       256.1524,         2.2935,         0.6758,         1.0815
   8155,         3.3959,        -1.3709,         2.0250,       131.0293,       447.7458,        90.5266,     81118.6250,       160.1903,       287.9209,    154347.3750,       116.0000,       256.1628,         2.7519,         0.6977,         1.3273
   8156,         2.5591,        -0.4456,         2.1135,       132.7836,       447.7843,        90.5993,     81118.1953,       160.4918,       287.9761,    154347.1719,       116.0000,       256.1694,         2.7209,         0.7604,         1.3532
   8157,         2.4159,        -0.1746,         2.2412,       134.6157,       447.8283,        90.6881,     81117.7188,       160.8571,       287.9922,    154346.9375,       116.0000,       256.1733,         2.8862,         0.8268,         1.4145
   8158,         1.0458,         0.4057,         1.4515,       135.7417,       447.8559,        90.6362,     81117.3438,       160.6600,       288.1080,    154346.7812,       116.0000,       256.1842,         1.4821,         0.6996,         0.7519
   8159,         1.1455,         0.2411,         1.3866,       136.8648,       447.8806,        90.5846,     81116.9688,       160.4641,       288.2533,    154346.6094,       116.0000,       256.1972,         1.4821,         0.6583,         0.7282
   8160,         1.1553,         0.2791,         1.4344,       137.9935,       447.9075,        90.5346,     81116.5938,       160.2746,       288.3877,    154346.4375,       116.0000,       256.2092,         1.4995,         0.6763,         0.7580
   8161,         0.5143,         0.8962,         1.4106,       139.1106,       447.9290,        90.4761,     81116.2188,       160.0527,       288.5678,    154346.2812,       116.0000,       256.2282,         1.4821,         0.6363,         0.7743
   8162,         1.0739,         0.3029,         1.3768,       140.2248,       447.9503,        90.4175,     81115.8438,       159.8306,       288.7608,    154346.1250,       116.0000,       256.2480,         1.4821,         0.6177,         0.7591
   8163,         0.5229,         0.8611,         1.3840,       141.3361,       447.9713,        90.3589,     81115.4688,       159.6087,       288.9597,    154345.9375,       116.0000,       256.2680,         1.4821,         0.6145,         0.7695
   8164,         1.0206,         0.3891,         1.4098,       142.4444,       447.9970,        90.3003,     81115.0938,       159.3870,       289.1277,    154345.7812,       116.0000,       256.2856,         1.4821,         0.6584,         0.7514
   8165,         2.4008,        -0.6099,         1.7909,       143.8487,       448.0299,        90.3015,     81114.6875,       159.4047,       289.2460,    154345.5938,       116.0000,       256.2993,         2.0803,         0.7300,         1.0609
   8166,         3.3161,        -1.0255,         2.2906,       145.6405,       448.0686,        90.3811,     81114.1953,       159.7356,       289.3160,    154345.3438,       116.0000,       256.3091,         2.8635,         0.8027,         1.4878
   8167,         2.5775,        -0.2054,         2.3722,       147.4088,       448.1187,        90.4568,     81113.6328,       160.0509,       289.2985,    154345.0000,       116.0000,       256.3120,         2.8262,         0.9290,         1.4432
   8168,         0.5407,         1.1699,         1.7106,       148.5012,       448.1611,        90.3982,     81113.0703,       159.8286,       289.3043,    154344.6875,       116.0000,       256.3163,         1.4821,         0.9149,         0.7957
   8169,         1.7916,        -0.0819,         1.7097,       149.6668,       448.1966,        90.3549,     81112.5078,       159.6677,       289.3547,    154344.3438,       116.0000,       256.3237,         1.6346,         0.8614,         0.8483
   8170,         2.9980,        -0.9178,         2.0801,       151.1892,       448.2345,        90.3835,     81111.9453,       159.7950,       289.3936,    154344.0000,       116.0000,       256.3301,         2.3549,         0.8794,         1.2007
   8171,         3.4197,        -1.1140,         2.3057,       152.7967,       448.2789,        90.4301,     81111.3594,       159.9938,       289.3887,    154343.6562,       116.0000,       256.3330,         2.5334,         0.9422,         1.3635
   8172,         4.1053,        -1.7069,         2.3984,       154.4458,       448.3260,        90.4858,     81110.7031,       160.2289,       289.3612,    154343.2188,       116.0000,       256.3338,         2.6250,         0.9797,         1.4187
   8173,         4.6705,        -2.0332,         2.6373,       156.1772,       448.3815,        90.5589,     81110.0156,       160.5331,       289.2714,    154342.7812,       116.0000,       256.3297,         2.7986,         1.0687,         1.5685
   8174,         3.8801,        -1.0849,         2.7952,       157.9689,       448.4395,        90.6448,     81109.2656,       160.8886,       289.1497,    154342.2812,       116.0000,       256.3228,         2.9283,         1.1219,         1.6734
   8175,         1.9378,         0.6278,         2.5656,       159.4334,       448.4982,        90.6785,     81108.5156,       161.0349,       289.0091,    154341.7812,       116.0000,       256.3141,         2.3448,         1.1582,         1.4075
   8176,         4.4129,        -1.6024,         2.8106,       159.6625,       448.5603,        90.7496,     81107.7734,       161.3304,       288.8367,    154341.3906,       116.0000,       256.3029,         1.2985,         1.2044,         1.6061
   8177,         4.9765,        -1.9937,         2.9828,       159.9361,       448.6285,        90.8297,     81107.0469,       161.6617,       288.6076,    154341.0625,       116.0000,       256.2874,         1.3887,         1.2826,         1.7002
   8178,         4.2541,        -1.0577,         3.1964,       160.3257,       448.6987,        90.9331,     81106.2969,       162.0860,       288.3426,    154340.7656,       116.0000,       256.2691,         1.6223,         1.3360,         1.8604
   8179,         1.9557,         0.9613,         2.9169,       160.4417,       448.7650,        90.9819,     81105.5469,       162.2918,       288.0789,    154340.4688,       116.0000,       256.2507,         1.0776,         1.3452,         1.5717
   8180,         2.3216,         0.1846,         2.5062,       160.2425,       448.8141,        90.9676,     81104.8125,       162.2451,       287.9192,    154340.0938,       116.0000,       256.2399,         0.4462,         1.2166,         1.2896
   8181,         2.8707,        -0.2576,         2.6131,       160.2005,       448.8575,        90.9846,     81104.0859,       162.3239,       287.8052,    154339.6562,       116.0000,       256.2325,         0.7599,         1.1549,         1.4582
   8182,         3.9879,        -1.0257,         2.9621,       160.4832,       448.9032,        91.0666,     81103.3359,       162.6624,       287.6844,    154339.2500,       116.0000,       256.2246,         1.4095,         1.1814,         1.7808
   8183,         3.9655,        -0.7474,         3.2181,       160.8749,       448.9597,        91.1706,     81102.6484,       163.0883,       287.4853,    154338.9844,       116.0000,       256.2109,         1.6293,         1.2985,         1.9195
   8184,         2.4303,         1.1272,         3.5576,       161.5822,       449.0225,        91.3378,     81101.8984,       163.7670,       287.2242,    154338.6719,       116.0000,       256.1929,         2.2638,         1.3547,         2.2029
