"","GPP_mean1","NPP_mean1","Reco_mean1","NEE_mean1","Rh_mean1","Ra_mean1","Rleaf_mean1","Rstem_mean1","Rroot_mean1","Rh4_mean1","Rh5_mean1","Rh6_mean1","Rh7_mean1","Rh8_mean1","QC1_mean1","QC2_mean1","QC3_mean1","QC4_mean1","QC5_mean1","QC6_mean1","QC7_mean1","QC8_mean1","QCt1_mean1","QCt2_mean1","QCt3_mean1","QCt4_mean1","QCt5_mean1","QCt6_mean1","QCt7_mean1","QCt8_mean1","simuCH4_mean1","prod_mean1","oxid_mean1","diff_mean1","ebu_mean1","pla_mean1","conc1_mean1","conc2_mean1","conc3_mean1","conc4_mean1","conc5_mean1","conc6_mean1","conc7_mean1","conc8_mean1","conc9_mean1","conc10_mean1"
"26",2.3524,0,13.8340774,11.4816766,13.8295412,0.0045,0.0033,4e-04,9e-04,3.848456,0.301412,6.1291422,3.2500606,0.3004666,102.1728,208.9987,175.0851,303.2799,280.8428,461.7765,81661.7969,72640.4453,11.0562,2.0912,7.3728,8.8483,0.693,10.5691,11.2088,0.5652,0.3724472,0.7152,0.1082542,0.0843876,0.1600828,0.1279788,0.0057578,1.8216578,3.8934652,5.713291,7.1873614,7.815721,7.9121408,7.9595,8.0105,8.0642
"27",6.8354,7e-04,13.8077978,6.9723924,13.7110024,0.0968,0.0681,0.0089,0.0198,3.906611,0.2980484,6.021561,3.1898606,0.2949232,92.1965,206.9729,168.1599,311.5175,281.8791,462.2695,81656.1719,72640.4453,9.9766,2.026,6.9251,8.9711,0.6844,10.3708,10.9877,0.5541,0.3636936,0.7119,0.1237302,0.0819476,0.1511174,0.1306286,0.01033,1.8558114,3.9658428,5.6984876,7.219147,7.895227,7.9978798,8.0459838,8.0957,8.1471
"28",16.2835,0.2384,14.866085,-1.4173704,14.0130946,0.853,0.5929,0.1345,0.1256,4.06599,0.304027,6.1110744,3.2330602,0.2989356,83.3124,205.0196,161.2934,318.174,282.9273,462.9127,81650.5469,72640.4453,9.0033,2.0725,6.8668,9.5216,0.7119,10.7327,11.3562,0.5727,0.5432046,0.9258,0.0390096,0.347089,0.0627948,0.1333222,0.0313276,1.8646268,3.9458288,5.6617144,7.2660362,7.9819112,8.0940992,8.1462722,8.1984,8.2515
"29",47.5979,36.0656,37.4571228,-10.1407504,21.3348248,16.1223,11.5089,3.447,1.1663,6.4321196,0.4754728,9.150332,4.8302312,0.4466658,105.3858,207.4642,155.2857,318.972,283.5762,464.2945,81639.7344,72643.7344,8.9109,2.0635,6.5816,15.0017,1.109,16.0081,16.9006,0.8525,1.2122428,1.5544,0.1463338,0.4923438,0.3706178,0.3492812,0.0732584,1.1220506,3.7531996,5.3084672,6.9375216,8.1068996,8.2497458,8.3130062,8.3795,8.4527
"30",96.6987,66.0162,93.2269104,-3.4717598,48.089502,45.1374,32.1724,4.1255,8.8395,14.3801422,1.0858734,20.7285028,10.8878036,1.007179,138.4033,209.3847,164.7532,304.663,282.7773,467.1372,81611.7734,72655.0391,12.9416,2.0904,6.5784,34.1364,2.5781,36.9066,38.7701,1.9562,2.9976176,4.5732,0.3419092,1.4051642,0.6440868,0.9483682,0.193196,1.4127792,3.3342986,4.4616268,6.2329868,8.3625774,8.670932,8.8132014,8.9286188,9.026
"31",128.18,58.6383,133.1779048,4.997896,74.5041358,58.6738,41.1749,5.1587,12.3402,20.9599208,1.6960606,33.0152478,17.2373766,1.595528,152.6201,213.1222,180.9646,276.6007,280.4796,468.9407,81567.2891,72668.5938,15.1021,2.1257,7.2439,50.7281,4.106,59.9456,62.5946,3.1603,5.9400592,8.5541,0.4215408,2.9423774,1.5202426,1.477444,0.0659148,1.6310574,4.2708846,5.1289972,6.4284054,8.801601,9.1844952,9.3707672,9.5246,9.6504
"32",127.4661,54.7764,128.6614742,1.1953594,62.0160708,66.6454,49.2645,5.5764,11.8045,16.3626086,1.4154596,28.18067,14.6960768,1.3612548,163.9082,216.5192,195.3721,262.3622,278.9464,468.4211,81530.6406,72683.7812,16.1002,2.0803,7.5032,38.1575,3.3007,49.2847,51.4034,2.5971,3.188989,5.2157,0.9994438,0.3684708,1.6646346,1.1558832,0.0065276,1.6082134,4.0240552,4.8801436,6.1660448,8.5646286,8.9721334,9.1697014,9.340181,9.4879
"33",91.6095,44.126,112.858759,21.249277,58.4124418,54.4463,40.3133,4.4271,9.7059,14.6584418,1.3255094,27.0095566,14.111046,1.3078856,168.7531,218.7747,204.7803,253.8689,277.6793,466.6345,81495.3984,72697.5469,17.2181,2.1563,8.2423,34.278,3.0994,47.3596,49.4853,2.5018,3.2961598,5.2417,1.001776,0.488303,1.6126372,1.1952196,0.0098192,0.9773596,3.6683572,4.5296092,5.8508836,8.298713,8.7158242,8.920195,9.0953,9.2441
"34",37.1435,10.7218,66.834894,29.6914142,34.3543504,32.4805,26.1802,2.3569,3.9434,8.4108502,0.7629472,16.0106446,8.3917224,0.7781844,157.2339,217.6537,200.591,259.6897,277.7415,465.2372,81473.9922,72706.2734,16.88,2.194,8.4778,19.8666,1.8021,28.3629,29.7321,1.5039,2.7893026,3.2669,0.2117256,0.8661562,1.0290994,0.894049,0.0287452,0.691441,3.1246822,4.1255044,5.6081434,7.7540124,8.1538436,8.3508,8.5206,8.6647
"35",5.6337,0,32.3427606,26.709089,18.098721,14.2441,11.4353,0.9613,1.8474,4.4983102,0.3926228,8.391649,4.4073252,0.408823,141.8808,215.4728,192.3931,273.1443,278.6849,464.6455,81464.0234,72710.6172,15.3531,2.1812,8.1979,10.4265,0.91,14.5876,15.3229,0.7753,1.1023268,1.308,0.1970492,0.2100166,0.5598816,0.332428,0.0094212,1.169505,3.4453728,4.9148252,6.2677544,7.461194,7.749622,7.8961,8.0276,8.1438
