"","GPP_sd1","NPP_sd1","Reco_sd1","NEE_sd1","Rh_sd1","Ra_sd1","Rleaf_sd1","Rstem_sd1","Rroot_sd1","Rh4_sd1","Rh5_sd1","Rh6_sd1","Rh7_sd1","Rh8_sd1","QC1_sd1","QC2_sd1","QC3_sd1","QC4_sd1","QC5_sd1","QC6_sd1","QC7_sd1","QC8_sd1","QCt1_sd1","QCt2_sd1","QCt3_sd1","QCt4_sd1","QCt5_sd1","QCt6_sd1","QCt7_sd1","QCt8_sd1","QCt8_sd1.1","QCt9_sd1","simuCH4_sd1","prod_sd1","oxid_sd1","diff_sd1","ebu_sd1","pla_sd1","conc1_sd1","conc2_sd1","conc3_sd1","conc4_sd1","conc5_sd1","conc6_sd1","conc7_sd1","conc8_sd1","conc9_sd1","conc10_sd1"
"61",0.397362815321212,0,4.51100752127504,4.5609899032995,4.33893339001649,0.245225583901843,0.135037876168133,0.0469324514595179,0.0859412415549135,0.49870362441033,0.196095851562444,0.986573536539472,2.97964651292733,0.110874492107067,19.5678930140677,2.54531545844518,2.2465206805191,47.6159417159107,24.1192731879093,125.200975188103,260.481805090198,82.8812087779688,0.978558627267677,0.0682500036630036,0.689525436804184,1.0248310626635,0.441150203445493,2.81563652252914,9.95786555025724,0.20296465948534,0.20296465948534,0.12132008489941,0.0603865216749566,0.0329360440854696,0.0307090703213236,0.00425170554013328,0.0161493962735453,0.0462865855297191,0.000228035085019828,0.4744759298426,1.55103465531883,1.29146196691966,0.666162791665821,0.976648937950582,1.02723539025873,1.03774740279126,1.05013044570663,1.0605127519271
"62",1.10742294675521,0.00185256578830551,3.040272471342,3.48683134192063,3.02424266519735,0.0273671883831716,0.0105093767655366,0.00660174219429993,0.0128958132740824,0.546746216264914,0.183746518334362,0.828085166513687,2.12029325966952,0.118170711261294,19.8558015304092,2.44016537492852,2.7959877404953,48.8338496050946,24.5405673957022,127.208045131222,266.200703178719,84.5736481107845,0.671121764659737,0.179143665810433,1.05294393108085,1.02214999046128,0.411456318459202,1.84774967676901,7.08270945380368,0.215790993787971,0.215790993787971,0.113135259755745,0.0413924268435664,0.0318439476196027,0.0227568231526283,0.00560597895108428,0.000357770876399966,0.0450727966738253,0.00174499283666151,0.493704241423952,1.46301785259101,1.27760351165767,0.683687975614607,1.00721459580369,1.06701265550133,1.07384611001763,1.08146810031549,1.08786912815835
"63",2.95926877403861,12.6385656603904,5.53343606974907,6.29064835863522,5.27848047386746,0.394083237400425,0.17778606525822,0.108674615251217,0.206305218062947,0.671649150970951,0.294388651275826,1.03592920221413,3.89024854064621,0.170405918324453,14.5427858597313,2.41723991424104,3.16739144518009,50.2686502718941,25.2134606515448,130.721278407828,278.217037962517,88.4832720697622,0.542138674141589,0.0755749429374578,0.805944000536018,1.28607130517713,0.663591766073088,3.50958863501123,12.9729742962823,0.312643922058306,0.312643922058306,0.182489725738191,0.0547328237897516,0.0436268036876414,0.0291243369023228,0.0175403249684833,4.47213595499958e-05,0.0420991092542348,0.00344485123045974,0.488436009114807,1.38340194339895,1.20600223175581,0.757258269680827,1.01858172082558,1.08911430850944,1.09667272009474,1.1028595051048,1.10733111669455
"64",4.33643236163093,13.6860604290643,8.98213163658828,10.1693820000037,7.23503503882324,2.17930391570336,1.01522798277037,0.519872433391116,2.3454057491189,0.892419392438331,0.400167837288306,1.4661791909586,5.29280736065465,0.232403775786883,22.1912093520835,2.6861568271417,3.75563552185246,51.9367587890022,26.0923887894919,135.347992836233,294.106973358151,94.0501598469011,1.3308108423063,0.0213441561088744,0.693530643158613,1.69690900964076,0.902893951690895,4.92450400273977,17.6697462821909,0.426275618584971,0.426275618584971,0.248319346809708,0.0547548627977461,0.063234919150735,0.0366707376527934,0.0164478570032695,0.00508015747787409,0.044272474518599,0.00164073154415949,0.485722551463281,1.26828800632979,1.14187362172878,0.955890457636229,1.01991440719307,1.10191565149062,1.1111249241197,1.11640022303831,1.12033035618964
"65",8.74880596641621,7.15303875580162,7.47379077945054,6.29956350884726,6.94786272482409,6.8982513028303,4.79700222555712,1.71310725642033,1.70121981677854,1.55709792787737,0.698702267063733,1.41932879665002,6.72284948455638,0.518033838663074,24.0640636997993,3.20959333093775,4.58567521058786,54.2789577766283,27.6499345444614,141.533923456862,314.000871664504,101.147095877801,1.07748104623701,0.0226775880551702,0.632156789886813,2.45781689370872,1.56508245885001,4.90057597104667,22.3741096896167,0.94676859527553,0.94676859527553,0.43040025906126,0.197802687039383,0.186066541860701,0.123229387728739,0.00493477456425316,0.0453054963552989,0.156985180829274,0.00326389338061157,0.0126349515234527,0.962639297452582,1.20086741024977,1.12466979909661,0.978363545416529,1.07243617385838,1.09209784955378,1.10015565126031,1.10675595322546
"66",8.77380138121442,4.52366070622013,5.06982251642008,9.58314113091318,6.70214343564803,4.55206592417113,3.50766305850491,1.51984437130912,1.23502507383454,3.11316619264054,1.26282548754767,4.18894606733006,9.32006381056482,1.14023015878374,25.5579969835862,3.53029837166776,5.55341710093884,56.9721079363227,30.5459047562026,150.736394701993,341.13663154195,112.081199886685,1.28343954006412,0.030584849190408,0.79915370111137,5.67400082023258,2.90860647596061,4.42897890116898,30.8313601990408,2.13734743853216,2.13734743853216,0.799880626718762,0.772141536248375,1.51805123694821,0.450343482244386,0.418337898115865,0.104012763639853,0.33371314328327,0.0167970830801065,0.5548228050468,0.897104970446603,1.17048492728441,1.05310259329279,0.837032850609819,0.963259563669108,1.00778123767016,1.02912712674382,1.04726103861454
"67",7.2921174882883,4.25600672309149,5.98572475285992,11.3451991153527,9.42097741070426,4.26522157197021,3.52596958721995,1.49323344390621,1.1724144284339,4.2384565551625,1.73265362753206,8.74781420824653,10.8515837827941,1.82345930500244,27.1357330029612,3.83689241926328,6.49566176243806,58.687145368837,34.6753730880866,162.349464582077,371.935081457622,126.225933265552,1.46638218585743,0.0277543329950479,0.900546109313677,8.8368656116295,4.16443403273482,5.00675155994383,35.2887711753753,3.50909054200657,3.50909054200657,1.14525270923059,2.5035597752001,4.4594462091161,0.900378213308163,1.46476417112107,0.256221158376899,0.875882543495416,0.175959304954299,1.06415167293013,1.01309318525,0.957035609055379,0.729774990664931,0.709487087267978,0.832882410667917,0.893981153604481,0.931783626707403,0.966160534279888
"68",6.91692947578621,3.29326093909972,9.5152692314511,14.2434005726512,12.5068758409125,3.61999681422512,3.28267165156675,1.37451749243144,0.953066733235401,3.80016962779295,1.78191013886784,10.829853994399,11.3466587489446,2.08460686533456,28.3307138776452,4.10309401025617,7.08287363737347,59.0417566676924,39.0427845982199,175.012949513152,403.185737148129,142.122348171453,1.6155723205725,0.0294400577445085,0.977467951904306,8.3380498764999,4.40408001482716,6.39998908085006,36.2819006415458,4.06197747125707,4.06197747125707,1.21110684995173,3.96561966847553,6.28562101927884,0.927874747474033,2.21536770943336,0.553858700392077,1.32197901458382,0.00881459017765432,1.17852559030341,1.0119241335199,0.94197307976396,0.701494014942394,0.835473948127648,0.841128519906441,0.856554821946616,0.883758322733087,0.915450410999962
"69",8.1016570917313,3.97560596425249,7.53246330180241,11.1805223593086,9.5859661482294,3.75760308547883,3.04089088393517,1.30514641439189,1.04892247806976,2.18225211536156,1.39325480799458,7.10888509978885,10.6060375995468,1.61162497591716,29.5908931903888,4.4498147236711,7.67665678228486,58.9234147221374,42.3916148997888,185.565781926052,432.844754875521,156.175948885118,1.72347223795453,0.0319226095424543,1.0514785057242,4.56486807334013,3.36517040534354,6.04382839597552,34.7313061579895,3.10623564737127,3.10623564737127,0.925389902689672,2.57007284235292,3.78924567137049,0.651406802236513,1.1237495659621,0.722258390743922,0.861429156692528,0.0476158902048465,0.873748616594041,1.08299989242843,1.11724336874291,0.821438370786269,0.807631250633604,0.825728314883291,0.828833045311298,0.850150135564302,0.879229382470808
"70",6.14180164145668,2.27874498617112,8.89071881053495,9.82463936768165,9.25826019978916,3.32815852161522,2.6611280760234,1.19622985165895,1.24426594544736,1.01822677336633,0.86168553602808,2.89686061314658,8.80050413584358,0.892866189862736,30.0837575667003,3.85709008100666,8.32509848908709,59.2652613003351,44.3608384509017,192.32644510881,457.738403188188,167.236709316634,1.6364615342256,0.0314717651236786,1.07834187992492,1.93583360286983,1.98633476483698,8.02181086052271,29.4192569471596,1.66604654496806,1.66604654496806,0.546254394032671,1.0327283442416,1.09725898629266,0.360919219493781,0.18838409699335,0.620958321467713,0.349727990015097,0.00265988721565408,0.566623359913797,1.09830222161298,1.23441313262619,1.03011442665366,0.722176101792354,0.772689194954867,0.804846589729993,0.839613690931729,0.872795384382846
