 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   1376,         0.8033,         1.6246,         2.4279,         0.0000,         1.2348,       190.1185,        99.3308,       195.2905,       218.1044,       252.0312,       450.7469,         1.1932,     81178.6406,     72769.7266
   1377,         0.7366,         1.5489,         2.2855,         0.0000,         1.1429,       189.6183,        99.2666,       195.0195,       218.3182,       252.0311,       450.6565,         1.1426,     81177.9062,     72770.0156
   1378,         0.6153,         1.5691,         2.1843,         0.0000,         1.0797,       189.1194,        99.2025,       194.7498,       218.5489,       252.0329,       450.5693,         1.1046,     81177.1719,     72770.2734
   1379,         1.4635,         0.7863,         2.2498,         0.3127,         1.1911,       188.7780,        99.1702,       194.6076,       218.8000,       252.0366,       450.4860,         1.0587,     81176.4453,     72770.4844
   1380,         1.9608,         0.6445,         2.6053,         0.5682,         1.4508,       188.5651,        99.1641,       194.5702,       218.9848,       252.0338,       450.4062,         1.1545,     81175.7031,     72770.7812
   1381,         0.6458,         1.7572,         2.4030,         0.0000,         1.1666,       188.0690,        99.1000,       194.3010,       219.1210,       252.0270,       450.3246,         1.2364,     81174.9531,     72771.1562
   1382,         1.9765,         0.6595,         2.6359,         0.5859,         1.4536,       187.8668,        99.0943,       194.2655,       219.2922,       252.0237,       450.2412,         1.1824,     81174.2500,     72771.5078
   1383,         2.0177,         0.4941,         2.5118,         0.5906,         1.3767,       187.6676,        99.0891,       194.2320,       219.4917,       252.0233,       450.1590,         1.1351,     81173.5078,     72771.7812
   1384,         2.2251,         0.5681,         2.7933,         0.8857,         1.6080,       187.6162,        99.1134,       194.3166,       219.6578,       252.0197,       450.0793,         1.1853,     81172.7578,     72772.0781
   1385,         0.7493,         1.6503,         2.3996,         0.0000,         1.1357,       187.1226,        99.0492,       194.0470,       219.7760,       252.0116,       449.9993,         1.2639,     81172.0078,     72772.4531
   1386,         0.7948,         1.4865,         2.2813,         0.0000,         1.1160,       186.6302,        98.9854,       193.7792,       219.9535,       252.0093,       449.9182,         1.1653,     81171.2656,     72772.7969
   1387,         1.8760,         0.6795,         2.5555,         0.5355,         1.3947,       186.4066,        98.9756,       193.7278,       220.1268,       252.0064,       449.8402,         1.1608,     81170.5234,     72773.1016
   1388,         0.5938,         1.6794,         2.2732,         0.0000,         1.1181,       185.9162,        98.9127,       193.4641,       220.3001,       252.0036,       449.7632,         1.1551,     81169.7891,     72773.4219
   1389,         1.0119,         1.1969,         2.2089,         0.0000,         1.0993,       185.4271,        98.8503,       193.2024,       220.4967,       252.0029,       449.6873,         1.1096,     81169.0469,     72773.6641
   1390,         1.5229,         0.8978,         2.4208,         0.3843,         1.2875,       185.1312,        98.8267,       193.0967,       220.6726,       252.0002,       449.6138,         1.1333,     81168.3047,     72773.9531
   1391,         1.8628,         0.7115,         2.5743,         0.4348,         1.3337,       184.8613,        98.8077,       193.0089,       220.7843,       251.9917,       449.5405,         1.2405,     81167.5625,     72774.3281
   1392,         2.5252,         0.3399,         2.8650,         1.0777,         1.6326,       184.9132,        98.8533,       193.1797,       220.9002,       251.9836,       449.4666,         1.2324,     81166.8594,     72774.7031
   1393,         1.3308,         0.9840,         2.3148,         0.1419,         1.1368,       184.4976,        98.8060,       192.9791,       221.0470,       251.9782,       449.3923,         1.1780,     81166.1094,     72775.0391
   1394,         1.5366,         0.7464,         2.2830,         0.5183,         1.2380,       184.2710,        98.7971,       192.9322,       221.2695,       251.9798,       449.3199,         1.0450,     81165.3594,     72775.2266
   1395,         0.7170,         1.4886,         2.2056,         0.0331,         1.1165,       183.8027,        98.7399,       192.6922,       221.4586,       251.9783,       449.2509,         1.0891,     81164.6562,     72775.4609
   1396,         0.3223,         1.9085,         2.2308,         0.0000,         1.1231,       183.3192,        98.6767,       192.4280,       221.6478,       251.9780,       449.1790,         1.1078,     81163.9219,     72775.6641
   1397,         0.3458,         1.8159,         2.1618,         0.0000,         1.1015,       182.8368,        98.6128,       192.1608,       221.8669,       251.9810,       449.1073,         1.0603,     81163.1719,     72775.8516
   1398,         0.3743,         1.6631,         2.0374,         0.0000,         1.0133,       182.3558,        98.5490,       191.8945,       222.1042,       251.9861,       449.0368,         1.0241,     81162.4219,     72776.0391
   1399,         0.2827,         1.3714,         1.6541,         0.0000,         0.7623,       181.8760,        98.4857,       191.6303,       222.4168,       251.9982,       448.9681,         0.8918,     81161.8438,     72776.2266
   1400,         0.3302,         1.3598,         1.6900,         0.0000,         0.8714,       181.3975,        98.4228,       191.3683,       222.7647,       252.0136,       448.9040,         0.8185,     81161.2812,     72776.4141
   1401,         0.7635,         1.0071,         1.7707,         0.0000,         0.9491,       180.9202,        98.3605,       191.1087,       223.1015,       252.0280,       448.8440,         0.8216,     81160.7188,     72776.6016
   1402,         0.6574,         1.1469,         1.8043,         0.0000,         0.9512,       180.4442,        98.2986,       190.8512,       223.4117,       252.0399,       448.7871,         0.8531,     81160.1562,     72776.7891
   1403,         0.3089,         1.5576,         1.8665,         0.0000,         0.9864,       179.9695,        98.2367,       190.5935,       223.7037,       252.0503,       448.7309,         0.8801,     81159.5938,     72776.9766
   1404,         0.2389,         1.4734,         1.7123,         0.0000,         0.8797,       179.4960,        98.1749,       190.3369,       224.0222,       252.0632,       448.6747,         0.8326,     81159.0312,     72777.1641
